      t[ns]     EtO1x     EtO1y     EtO1z     EtO2x     EtO2y     EtO2z     EtO3x     EtO3y     EtO3z     EtO4x     EtO4y     EtO4z     EtO5x     EtO5y     EtO5z     EtO6x     EtO6y     EtO6z     EtO7x     EtO7y     EtO7z     EtO8x     EtO8y     EtO8z     EtO9x     EtO9y     EtO9z    EtO10x    EtO10y    EtO10z    EtO11x    EtO11y    EtO11z    EtO12x    EtO12y    EtO12z    EtO13x    EtO13y    EtO13z    EtO14x    EtO14y    EtO14z    EtO15x    EtO15y    EtO15z    EtO16x    EtO16y    EtO16z    EtO17x    EtO17y    EtO17z    EtO18x    EtO18y    EtO18z    EtO19x    EtO19y    EtO19z    EtO20x    EtO20y    EtO20z    EtO21x    EtO21y    EtO21z    EtO22x    EtO22y    EtO22z    EtO23x    EtO23y    EtO23z    EtO24x    EtO24y    EtO24z    EtO25x    EtO25y    EtO25z    EtO26x    EtO26y    EtO26z    EtO27x    EtO27y    EtO27z
        0.24     30.78     26.02     -2.68      2.85     23.75     12.54    -18.11     -1.55     30.49      9.18      2.63      9.52     22.96     21.95     18.35     34.60     24.27     30.62     26.53     24.41     31.64     51.09     23.10     12.23     18.45     28.87     16.84     30.21     15.31     10.98     18.25     15.42     14.21     33.22     18.80     29.17     22.17     12.74      0.67     37.84     13.71     18.28      9.56     22.92     22.35     14.37     17.60     -0.38      5.94     -5.57     24.20     31.11     15.60     -4.60     23.80    -15.36     -3.48     20.09    -16.72     26.79    -12.30      2.55     15.44      0.63     -6.18     17.07      7.58     14.51     28.09      0.97     19.41      9.97     17.60     21.35     17.53     12.60      0.29     14.61     13.86      5.25     19.40
        0.26     28.09     24.76     -3.52      1.93     26.81     16.57    -22.64     -1.38     33.80      8.08      8.09      6.31     25.15     28.28     22.92     36.63     17.57     26.87     27.61     26.11     34.21     53.64     20.74     12.79     19.70     22.20     15.72     33.11     20.09     13.09     23.46     15.06     12.92     30.00     12.36     24.76     22.73     12.01      2.81     38.45     22.10     13.93     12.17     11.86     19.77     12.67     16.28     -2.51      8.97    -15.22     20.28     30.13     16.65    -11.80     20.70    -11.82     -3.01     16.68    -24.07     29.67     -4.68      5.10     16.67      6.60     -7.66     18.78     12.00     13.95     26.84      6.07     14.57     12.91     15.92     20.27     17.83     10.61     -2.03     14.16     17.84      8.70     14.32
        0.28     25.63     24.16     -7.79     -1.94     18.57     19.76    -20.93     -2.38     32.35      7.11      5.82      7.25     31.69     24.48     23.65     40.65     17.13     24.78     28.69     24.89     32.48     52.95     28.91     17.83     15.10     28.11     20.43     38.20     19.12     11.39     18.37     19.50     12.70     35.77      9.91     30.57     14.42     13.07      2.54     35.41     24.40      9.70     11.29     12.86     22.94     12.85     20.83     -2.09      6.02    -16.52     19.48     27.27     14.73     -8.07     17.87    -15.38     -9.96     13.74    -26.00     33.22     -5.00     10.33     15.06      7.13     -8.59     17.41     16.25     13.87     27.50     11.07     13.32     17.91     18.31     23.77     16.29      8.64     -0.98     18.78     14.85      7.44     15.38
        0.30     23.35     22.79     -3.86     -2.12     21.47     19.22    -28.56     -7.02     32.07     14.99      1.93      2.17     28.50     22.47     25.64     40.35     13.75     24.19     28.23     20.95     33.20     50.64     31.13     18.32     20.52     31.24     24.44     43.52     20.19     11.44     17.62     22.80      8.20     32.37     10.73     31.00     16.34     13.71     -0.45     39.03     15.91      9.73     11.46     11.70     17.52     12.26     21.12     -5.03      9.52    -22.73     23.97     25.23     18.06     -7.92     18.73    -13.54     -9.98     18.77    -28.30     31.18     -5.19      9.16     18.35      9.96    -14.94     16.32     13.68     15.22     28.58     14.58     15.74     18.67     17.74     23.99     16.78     14.57     -2.74     20.54     16.04      5.92      9.64
        0.32     19.78     29.93     -3.96     -2.47     21.58     17.86    -32.15    -12.48     30.91     14.03      0.88      0.46     28.05     21.25     25.23     43.80     16.86     26.62     34.30     23.67     33.51     45.98     32.28     19.79     23.68     36.40     27.07     47.41     17.22      7.91     19.80     18.01      4.28     34.51      9.01     33.21     15.20     10.30      3.05     39.63     17.67     10.23     11.68     10.05     15.58     12.25     23.43     -6.52     10.85    -18.28     20.64     21.84     11.07     -9.23     15.46    -11.04    -13.32     21.73    -27.20     31.24     -2.17      8.03     21.42     12.57    -12.54     11.93     16.50     19.85     27.36     13.89     14.59     17.98     19.20     21.17     13.88      8.39     -2.03     19.38     15.46      5.71      9.53
        0.34     20.14     23.35     -4.29     -3.78     19.22     16.38    -35.27    -15.06     38.16     12.58      2.92      2.74     27.58     16.97     26.09     43.31     20.07     24.49     31.71     15.83     28.08     54.41     31.27     18.04     22.44     29.74     25.75     45.30     15.68      6.92     15.39     20.29      3.98     32.97      8.30     29.51     17.13     10.87     -3.29     36.98     17.31     12.66     11.98      5.29     15.96     13.76     25.93     -8.12      6.04    -19.16     17.23     21.75     15.27     -8.84     14.30     -5.77    -14.69     20.32    -29.46     37.12     -1.95      3.97     19.90      6.82    -10.18     10.21     21.57     20.97     30.59      8.72     18.31     18.06     22.17     27.10     14.71      8.25     -7.40     19.26     14.07      8.12     11.15
        0.36     16.96     28.76     -9.68      6.65     25.28     19.42    -38.57    -18.77     39.54      9.31      2.90      1.31     22.09     20.40     26.54     38.48     17.23     31.49     34.14     20.20     33.53     55.74     32.72     22.72     21.82     31.45     28.67     48.65     14.14      9.01     18.77     15.52      4.49     36.59     10.50     26.40     20.25     12.24     -0.06     36.49     17.31     13.18      4.84      5.75     14.62     13.70     18.77     -4.87      7.98    -20.52     11.25     24.33     14.62     -5.48     16.82    -11.03    -11.72     21.86    -36.11     37.89     -4.78      7.22     19.64      6.03    -10.06      9.96     22.64     28.86     27.53      8.96     18.13     19.38     25.22     28.15     13.90     12.11    -11.94     21.64     11.94      7.57     13.83
        0.38     15.82     26.44    -15.79      0.87     24.00     21.55    -41.06    -15.15     39.98     13.24      8.53      4.00     22.85     21.11     23.73     41.71     19.13     32.24     35.08     18.73     34.99     56.87     30.74     23.72     24.87     33.90     30.44     45.39     15.75     17.65     15.25     13.14      4.80     38.01     20.12     24.55     21.87     13.62     -5.54     40.90     15.92     16.78      2.02      4.62     15.15     15.89     16.75     -4.83     -1.59    -24.48      7.83     23.10     12.03     -8.06     15.36    -11.59    -12.85     20.65    -35.58     40.59     -4.52      9.66     18.80      5.14    -11.83     12.32     25.83     25.95     30.32     11.02     18.03     19.82     23.15     26.83     12.04     12.85     -9.92     24.96      4.40      1.68      9.93
        0.40     23.72     22.78    -12.72      1.39     28.00     29.71    -40.35     -6.99     38.72     11.98      7.24      0.08     18.35     14.78     26.28     37.91     19.66     40.01     33.68     19.88     38.17     58.97     25.29     23.88     25.30     29.99     32.44     48.79     21.97     13.28     13.57      9.52      2.41     38.03     23.99     26.34     19.23     11.03     -6.37     46.63     17.19     20.48      2.84      6.50     17.18     12.36     17.54      3.74      5.32    -18.34     10.51     18.42     16.90    -15.13     20.24    -10.79    -10.43     27.05    -33.82     42.44     -4.74      9.08     17.70      2.99    -17.99     17.25     20.43     23.73     28.42      8.27     16.25     25.58     27.42     32.30     11.59      5.42    -11.71     28.28      6.25     -1.96     21.13
        0.42     24.63     31.67    -10.98      6.58     20.86     29.73    -42.19     -5.91     34.16     16.89      6.24      0.67     13.86     14.33     24.13     37.23     22.41     40.59     29.20     21.56     43.52     59.93     20.89     22.01     28.00     34.21     28.37     50.97     24.17     12.16      8.60      7.75      0.24     40.23     19.17     23.82     15.06     12.21    -10.37     47.04     20.69     20.76      3.72      2.72     20.47     11.42     24.45      1.03      3.19    -16.17     12.91     21.01     18.20     -9.40     18.17     -9.27     -7.55     29.04    -27.82     38.34     -6.02      7.36     20.61     -2.98    -17.85     17.96     27.13     25.96     27.55     -0.07     14.45     26.84     24.33     33.87     10.88      6.04    -11.09     25.69      3.43     -2.63     23.96
        0.44     23.75     27.23     -7.12      2.84     24.85     27.29    -40.73     -6.72     38.99     24.50     14.30     -1.20     12.85     10.89     22.52     40.18     26.24     35.55     23.96     26.05     45.42     52.16     14.30     20.02     28.83     27.04     24.86     49.81     27.34     19.40     12.68      6.78     -2.01     35.26     19.68     29.60     16.21      8.48    -16.97     44.10     19.51     29.56      5.50     -1.04     14.93     13.93     30.27      2.54      0.21    -16.96     15.04     20.59     19.96    -14.38     12.64    -13.15     -5.06     28.92    -31.04     39.23     -4.96      6.58     25.32     -3.02    -16.56     19.32     21.27     20.87     25.10      2.04     11.06     25.91     26.42     39.94      9.12      1.59    -11.49     21.36      6.53     -3.96     22.88
        0.46     20.06     31.06     -8.84      1.76     20.70     29.22    -39.87     -5.16     31.90     26.79     10.75     -1.17     12.31     11.27     17.80     41.68     28.23     30.20     19.12     26.40     43.72     47.81     18.57     13.77     28.89     21.52     22.64     47.91     25.66     15.46     13.17     10.77     -1.72     38.42     20.32     29.79     24.96     10.82    -16.80     44.98     19.22     27.49      1.68     -0.98     12.62     18.88     30.14      1.98     -3.50    -19.37     21.51     19.10     18.55    -19.03     13.79    -14.68     -7.77     33.91    -31.04     37.87     -1.55      4.49     27.83     -7.92    -21.53     19.75     21.15     25.26     18.80      4.52      8.97     28.97     29.68     36.18     14.10      2.81    -16.84     26.12      4.20     -2.56     23.48
        0.48     16.76     27.22    -12.55      3.55     23.81     29.86    -39.46     -3.15     34.39     25.00      6.17     -0.64     14.56      7.84     17.31     42.76     30.89     29.58     21.59     27.20     43.03     45.22     15.82     11.71     30.97     13.30     23.84     46.72     25.24     11.08     11.87     10.30     -2.08     41.16     13.23     23.57     24.90      8.05    -16.05     43.11     18.81     23.85      3.95     -0.32      8.88     19.90     28.30     -0.11     -3.49    -18.21     24.48     16.94     19.83    -22.64      8.57    -14.25    -12.01     37.37    -36.78     41.41     -0.36     11.54     28.36    -10.04    -18.81     17.76     27.60     23.92     15.95      6.42      9.62     29.67     30.04     35.37     10.66      4.28    -18.07     25.91      4.93     -3.14     20.38
        0.50      9.69     19.67    -18.73      4.03     22.04     25.49    -41.86     -1.68     38.78     24.19      5.57     -2.84     15.22      8.92     18.18     40.56     27.00     28.29     18.23     24.16     44.48     44.09     22.35     16.14     30.05     15.19     27.38     39.35     30.82     12.15     10.30     10.80     -5.48     47.95     12.64     21.10     24.10      4.80    -19.98     46.18     11.27     25.42      1.70     -3.90      5.49     19.93     29.23     -0.06     -4.56    -16.24     27.18     13.98     26.71    -19.58     10.15    -18.00    -11.15     28.66    -37.21     34.92     -1.39      9.01     24.25     -7.55    -19.71     15.29     25.71     23.12     19.08      5.69      5.85     27.87     30.86     31.34      8.15      3.98    -20.47     27.72      2.84     -6.64     24.11
        0.52     12.27     18.87    -18.82      6.15     26.93     28.08    -42.57     -8.91     35.29     34.31      1.29     -6.60     19.64      6.80     18.76     39.49     30.18     28.78     14.24     27.39     36.49     36.87     25.41     15.12     29.58     22.03     25.82     32.68     37.69     17.50     13.48     16.66     -6.64     49.65     13.24     19.91     26.82      8.95    -22.04     46.04     11.98     25.24      0.72     -9.76      8.81     14.51     34.16      1.11      0.45    -18.55     24.35     18.07     31.98    -22.84     15.81    -17.63    -11.59     23.53    -37.80     37.56      0.50      9.95     20.15    -10.38    -20.49     14.40     19.00     22.27     17.07      8.47     11.66     30.63     29.83     32.35      9.66      7.45    -13.43     33.53      3.38    -11.06     23.16
        0.54      6.20     15.21    -19.68      0.61     29.00     31.59    -47.03    -10.86     38.00     32.89      5.23     -7.63     23.18      5.93     19.17     36.05     28.28     28.19     11.84     27.91     34.49     41.48     21.98     11.95     33.30     20.09     25.81     41.97     37.49      9.51     12.42     18.30     -4.90     51.12      9.93     19.25     30.36      8.51    -19.68     44.28      5.66     24.78      0.31     -4.48     11.35     20.20     30.84      0.98      0.95    -15.77     31.15     13.52     33.06    -26.39     17.71    -16.77     -9.44     22.90    -36.77     37.58      0.51      9.24     27.07     -4.19    -17.88     13.74     14.52     23.26     20.08      9.60      5.36     31.14     31.11     32.14     12.28     14.24    -19.46     34.27      3.03     -6.68     26.00
        0.56     10.67     13.70    -18.03     -1.60     30.69     32.34    -53.95    -12.98     37.38     33.10     -0.33     -5.93     22.96      6.11     20.60     33.98     26.66     24.37     10.97     26.14     36.06     37.71     23.43      9.00     36.66      9.68     24.05     43.67     40.81      3.78     14.15     21.48     -1.64     55.10     12.37     21.39     28.17     15.76    -20.89     44.61      6.58     27.66     -1.20      3.33      7.05     24.33     29.35      0.90      1.11    -22.74     31.08     11.26     30.31    -22.17     16.72    -16.97     -8.50     27.04    -28.22     36.49      0.31      7.24     28.42    -13.82    -14.24     11.34     16.57     18.84     19.43      6.03      2.09     29.70     33.82     36.49      8.10     13.47    -21.10     31.52      5.45     -4.71     28.68
        0.58      7.61     13.62    -13.02     -1.04     33.14     25.48    -55.79    -10.70     34.42     32.19     -0.72     -4.14     23.82      4.22     19.29     30.59     23.64     24.35     12.27     28.01     34.81     39.42     22.10     12.18     35.46     12.62     25.63     50.03     45.83     11.29     12.97     23.12     -5.33     50.02     13.07     24.40     30.32     19.76    -21.96     42.90     11.10     32.61      2.97      7.25      8.09     25.20     38.22      6.08      2.32    -21.73     34.73     11.98     32.55    -21.62     14.03    -15.15     -9.08     30.29    -24.14     33.71      1.53     16.12     28.84    -13.69    -15.69     15.02     16.97     27.09     12.46     12.66     -0.19     25.65     28.04     41.44      7.67     16.24    -24.15     34.82     10.50     -3.32     21.47
        0.60      9.22      9.22    -13.23     -2.19     37.63     21.13    -51.83     -7.44     36.83     33.34      0.85    -11.90     16.02     -2.16     25.38     29.11     25.88     24.73     12.60     31.03     37.45     35.12     22.25     15.51     37.01      9.04     20.41     52.30     44.63     14.16      8.54     25.42     -4.87     49.02     16.07     28.50     25.72     21.13    -24.05     47.24     10.56     36.27     -3.08     -1.82      6.12     27.42     39.85     -4.69      8.36    -19.11     36.05     14.85     31.34    -27.36     11.45    -20.49     -2.49     33.44    -23.28     31.33      2.82     18.34     26.70    -16.59    -19.22     22.44     18.57     26.42     14.17      8.26      1.48     29.23     34.19     43.96      7.08     22.90    -21.83     37.91     13.37     -1.70     21.11
        0.62     10.02      8.82    -12.55     -1.98     38.91     20.68    -57.06     -6.25     33.16     31.00     -2.95    -10.41     15.76      3.39     24.46     34.75     27.49     22.55     12.46     33.31     39.93     34.64     21.33      8.06     37.42      5.67     16.39     51.03     42.86     11.09      8.96     28.83     -8.39     56.67     13.30     34.67     28.35     19.18    -22.43     43.52      8.24     37.98     -7.06      1.11      4.60     25.98     41.68     -4.13      5.34    -26.43     33.43     13.27     30.84    -21.36     15.22    -18.18     -1.79     30.96    -21.39     35.54      8.43     17.18     22.74    -16.21    -21.13     17.36     23.17     21.72     15.78     10.11      3.18     25.86     35.75     40.66      4.63     16.67    -17.34     36.54     16.11     -4.51     21.99
        0.64      8.10      5.14    -10.61      3.33     39.27     24.67    -60.32     -8.37     35.28     29.32     -2.28    -10.99     12.10      5.31     23.96     31.48     32.47     20.24      7.21     32.46     36.07     34.63     14.89     10.34     47.89      6.35     15.96     54.06     35.66      9.92      8.22     30.14     -8.73     57.18      9.59     35.09     34.10      9.86    -21.72     46.31      8.18     41.17     -5.57     -2.69      2.90     27.59     37.27     -8.26      6.49    -21.55     30.17      7.95     29.39    -20.13     16.99    -21.90      2.58     33.05    -26.59     37.71      9.62     22.65     21.28     -8.57    -21.49     19.19     17.68     20.13     16.58     10.23      1.26     27.23     36.34     46.68     -4.64     18.91    -25.58     39.68     16.50     -5.11     24.06
        0.66     10.87      6.11    -13.17      3.06     37.11     26.53    -55.06     -6.52     38.36     32.06     -3.26     -8.07     12.01      7.73     23.79     33.60     33.88     24.12      4.51     29.39     41.04     27.80     12.90     12.41     47.61      5.22     19.14     55.81     36.36     10.83      6.16     24.49     -9.15     53.63      7.03     33.67     31.38     13.49    -26.08     45.55      5.43     42.62     -3.98     -1.85      0.86     34.37     35.27     -8.74      2.21    -21.35     30.87      9.82     29.25    -25.09     23.06    -19.72     -0.41     34.97    -28.42     34.86     13.88     23.94     16.06    -14.50    -14.44     24.34     22.21     23.30     18.52      9.84     -0.46     25.70     30.41     40.55     -8.03     22.78    -27.18     45.36     21.22     -6.23     23.73
        0.68     15.73      6.29    -15.74      3.30     40.70     23.21    -59.11     -5.18     37.56     36.09     -7.32     -5.36     12.56     11.63     26.55     36.85     33.38     22.02      0.81     21.52     45.39     26.96     16.47      3.26     50.68      7.57     27.32     52.73     36.94     14.66     -0.84     30.67     -9.09     51.40     11.50     39.05     35.68     15.60    -26.56     48.42      7.06     38.15     -5.23     -2.52      7.70     32.02     35.48     -8.46      7.51    -18.46     32.65     11.24     34.38    -25.10     18.38    -15.86      0.80     32.97    -26.15     32.37      6.31     27.43     18.70    -15.79    -11.10     25.80     18.88     26.16     24.51     11.62      0.56     20.47     27.72     33.69     -6.99     23.49    -29.96     46.35     18.07     -5.21     31.04
        0.70     13.43      8.63    -12.82      3.83     41.55     27.89    -64.46     -7.24     41.86     39.46     -2.74     -8.30     14.86     17.40     27.07     36.96     36.46     27.13      2.40     27.14     43.88     29.12     13.89     -0.62     43.12      7.69     20.35     56.61     35.50     18.59      1.39     27.67     -5.60     51.06     12.79     36.27     31.84     10.66    -28.98     48.47      9.06     38.37     -4.90     -2.31      7.10     27.48     39.46    -10.35      7.87    -19.33     30.85     13.71     32.10    -21.55     23.90    -13.83      2.40     31.34    -23.23     37.20     -0.38     33.79     22.13    -11.05     -4.33     24.22     15.10     34.42     22.72      5.87     -0.09     16.63     25.36     37.85     -5.42     18.41    -26.66     48.47     19.50     -1.31     34.30
        0.72     15.48     11.62    -10.83      3.03     38.68     24.01    -68.60     -2.75     38.94     40.16    -13.58     -8.91     11.13     20.84     25.39     35.62     38.44     30.40      8.37     27.90     40.58     25.04     18.44     -0.28     37.18      8.91     20.49     51.64     34.86     24.31      6.47     30.40     -9.60     51.67     15.09     33.35     26.56      7.58    -33.67     51.47     13.64     46.73     -4.52      2.29     10.56     24.27     40.76     -5.78      2.99    -18.94     31.86     17.30     33.27    -26.35     15.89    -12.64     -1.27     29.25    -25.03     40.63     -0.44     32.83     26.87     -9.64     -2.32     25.09     10.97     33.04     21.35      3.00      4.76     13.79     25.29     38.60      0.44     11.40    -23.48     49.38     25.11     -2.47     33.06
        0.74     13.07     15.17    -14.43      1.93     38.59     31.14    -65.81     -3.15     34.94     46.39    -13.70     -6.72      8.89     15.61     24.50     28.74     43.68     40.31      8.45     29.75     37.81     35.31     14.42      5.53     36.15      9.75     19.04     48.77     37.10     24.29      2.05     29.55     -7.66     52.73     16.71     40.47     29.81     13.77    -27.99     47.31     16.82     46.76     -4.85      5.21     13.87     27.08     38.64     -0.09     10.60    -18.69     33.66     23.29     36.31    -28.74     15.24    -11.02     -1.79     29.96    -23.56     41.25     -3.68     36.25     26.37     -7.98     -3.72     19.46      7.62     28.16     24.22      0.35      4.03     14.62     24.87     42.94      3.86     10.45    -20.70     49.40     18.19     -5.21     27.98
        0.76      9.26     13.04    -12.53      6.03     38.49     28.15    -63.36     -1.89     35.47     47.13    -12.66     -7.83     14.95     18.78     28.74     30.69     39.85     36.36      9.79     28.48     37.51     35.21     21.70      5.03     39.90      4.55     19.04     50.58     39.76     22.13     -0.39     27.12    -10.37     53.57     14.34     46.11     30.28     15.73    -26.68     45.92     16.92     43.84     -6.29      5.61     16.47     31.80     37.48     -0.01     13.56    -20.16     28.49     21.23     39.19    -29.38     21.61     -4.47     -0.08     29.08    -25.78     46.96      2.32     39.74     25.30    -12.05     -3.80     22.62      7.61     31.94     23.62     -2.01      0.11     18.43     21.80     45.28     -1.99      6.51    -23.19     49.52     21.22     -6.06     39.63
        0.78      7.71     10.21    -12.12      1.88     37.41     28.18    -69.10      3.62     38.86     43.44    -11.44    -14.49     12.19     14.10     28.19     25.00     43.19     40.47     15.92     21.67     34.39     34.19     21.70      4.55     39.16      0.73     20.67     50.32     44.43     25.04     -4.36     29.37     -7.60     55.16     17.09     49.07     31.18     18.96    -21.54     44.63     14.78     36.49     -6.09      8.92     23.24     33.89     40.14      4.56     11.40    -21.20     28.18     25.42     35.19    -23.61     22.07     -2.52      4.31     28.14    -28.84     51.95      3.98     41.65     29.79    -16.20     -1.22     22.54      5.92     24.47     19.78     -0.12      1.46     17.63     28.74     44.76      2.90      9.72    -24.70     45.98     20.35    -10.88     37.47
